date,fed_policy_score,usd_liquidity_score,rates_pressure_score,risk_appetite_score,stablecoin_liquidity_score,btc_market_score,macro_liquidity_score,score_coverage_ratio
2017-11-29,,,,,,,,0.0
2017-11-30,,,,,,,,0.0
2017-12-01,,,,,,,,0.0
2017-12-02,,,,,,,,0.0
2017-12-03,,,,,,,,0.0
2017-12-04,,,,,,,,0.0
2017-12-05,,,,,,,,0.0
2017-12-06,,,,,,,,0.0
2017-12-07,,,,,,,,0.0
2017-12-08,,,,,,,,0.0
2017-12-09,,,,,,,,0.0
2017-12-10,,,,,,,,0.0
2017-12-11,,,,,,,,0.0
2017-12-12,,,,,,,,0.0
2017-12-13,,,,,,,,0.0
2017-12-14,,,,,,,,0.0
2017-12-15,,,,,,,,0.0
2017-12-16,,,,,,,,0.0
2017-12-17,,,,,,,,0.0
2017-12-18,,,,,,,,0.0
2017-12-19,,,,,,,,0.0
2017-12-20,,,,,,,,0.0
2017-12-21,,,,,,,,0.0
2017-12-22,,,,,,,,0.0
2017-12-23,,,,,,,,0.0
2017-12-24,,,,,,,,0.0
2017-12-25,,,,,,,,0.0
2017-12-26,,,,,,,,0.0
2017-12-27,,,,,,,,0.0
2017-12-28,,,,,,,,0.0
2017-12-29,,,,,50.0,,50.0,0.16666666666666666
2017-12-30,,,,,50.0,,50.0,0.16666666666666666
2017-12-31,,,,,50.0,,50.0,0.16666666666666666
2018-01-01,,,,,50.0,,50.0,0.16666666666666666
2018-01-02,,,,,50.0,,50.0,0.16666666666666666
2018-01-03,,,,,50.0,,50.0,0.16666666666666666
2018-01-04,,,,,50.0,,50.0,0.16666666666666666
2018-01-05,,,,,50.0,,50.0,0.16666666666666666
2018-01-06,,,,,50.0,,50.0,0.16666666666666666
2018-01-07,,,,,50.0,,50.0,0.16666666666666666
2018-01-08,,,,,50.0,,50.0,0.16666666666666666
2018-01-09,,,,,50.0,,50.0,0.16666666666666666
2018-01-10,,,,,50.0,,50.0,0.16666666666666666
2018-01-11,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-12,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-13,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-14,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-15,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-16,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-17,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-18,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-19,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-20,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-21,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-22,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-23,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-24,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-25,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-26,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-27,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-28,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-01-29,,,,,75.29998560082939,,75.29998560082939,0.16666666666666666
2018-01-30,,,,,75.29998560082939,,75.29998560082939,0.16666666666666666
2018-01-31,,,,,75.29998560082939,,75.29998560082939,0.16666666666666666
2018-02-01,,,,,75.29998560082939,,75.29998560082939,0.16666666666666666
2018-02-02,,,,,75.29998560082939,,75.29998560082939,0.16666666666666666
2018-02-03,,,,,75.29998560082939,,75.29998560082939,0.16666666666666666
2018-02-04,,,,,75.29998560082939,,75.29998560082939,0.16666666666666666
2018-02-05,,,,,75.29998560082939,,75.29998560082939,0.16666666666666666
2018-02-06,,,,,75.29998560082939,,75.29998560082939,0.16666666666666666
2018-02-07,,,,,75.29998560082939,,75.29998560082939,0.16666666666666666
2018-02-08,,,,,75.29998560082939,,75.29998560082939,0.16666666666666666
2018-02-09,,,,,75.29998560082939,,75.29998560082939,0.16666666666666666
2018-02-10,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-11,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-12,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-13,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-14,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-15,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-16,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-17,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-18,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-19,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-20,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-21,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-22,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-23,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-24,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-25,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-26,,,,,75.1499982000259,,75.1499982000259,0.16666666666666666
2018-02-27,,,,,73.65882236864165,,73.65882236864165,0.16666666666666666
2018-02-28,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-01,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-02,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-03,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-04,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-05,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-06,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-07,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-08,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-09,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-10,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-11,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-12,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-13,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-14,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-15,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-16,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-17,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-18,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-19,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-20,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-21,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-22,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-23,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-24,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-25,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-26,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-27,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-28,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-29,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-30,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-03-31,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-04-01,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-04-02,,,,,61.82352909804122,,61.82352909804123,0.16666666666666666
2018-04-03,,,,,62.0844753093763,,62.084475309376295,0.16666666666666666
2018-04-04,,,,,62.069970076136386,,62.069970076136386,0.16666666666666666
2018-04-05,,,,,62.05577152102846,,62.05577152102847,0.16666666666666666
2018-04-06,,,,,62.04186897504528,,62.041868975045276,0.16666666666666666
2018-04-07,,,,,62.02825228194136,,62.02825228194136,0.16666666666666666
2018-04-08,,,,,62.014911766970954,,62.01491176697096,0.16666666666666666
2018-04-09,,,,,62.00183820792449,,62.00183820792449,0.16666666666666666
2018-04-10,,,,,61.98902280826657,,61.989022808266576,0.16666666666666666
2018-04-11,,,,,61.9514574055291,,61.9514574055291,0.16666666666666666
2018-04-12,,,,,61.93913351480907,,61.93913351480908,0.16666666666666666
2018-04-13,,,,,61.92704370720056,,61.92704370720056,0.16666666666666666
2018-04-14,,,,,61.91518065639563,,61.91518065639563,0.16666666666666666
2018-04-15,,,,,61.90353735330995,,61.90353735330994,0.16666666666666666
2018-04-16,,,,,61.892107088634354,,61.89210708863435,0.16666666666666666
