date,btc_price,btc_market_cap,btc_volume,btc_return_7d,btc_return_30d,btc_return_90d,btc_return_180d,btc_forward_return_30d,btc_forward_return_90d,btc_forward_return_180d,stablecoin_to_btc_mcap,btc_to_stablecoin_ratio,stablecoin_supply_growth_30d,stablecoin_supply_growth_90d,net_liquidity_growth_30d,net_liquidity_growth_90d,liquidity_transmission_gap_30d,liquidity_transmission_gap_90d,stablecoin_btc_growth_gap_30d,stablecoin_btc_growth_gap_90d,net_liquidity_btc_growth_gap_30d,net_liquidity_btc_growth_gap_90d,stablecoin_to_btc_mcap_zscore_252d,btc_to_stablecoin_ratio_zscore_252d,liquidity_transmission_gap_30d_zscore_252d,liquidity_transmission_gap_90d_zscore_252d,transmission_phase
2018-02-07,,,,,,,,,,,,,545.6033463671911,,,,,,,,,,,,,,neutral
2018-02-08,,,,,,,,,,,,,545.6033463671911,,,,,,,,,,,,,,neutral
2018-02-09,,,,,,,,,,,,,545.6033463671911,,,,,,,,,,,,,,neutral
2018-02-10,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-11,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-12,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-13,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-14,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-15,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-16,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-17,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-18,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-19,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-20,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-21,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-22,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-23,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-24,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-25,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-26,,,,,,,,,,,,,0.996347721369367,,,,,,,,,,,,,,neutral
2018-02-27,,,,,,,,,,,,,0.996347721369367,545.6033463671911,,,,,,,,,,,,,neutral
2018-02-28,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-01,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-02,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-03,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-04,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-05,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-06,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-07,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-08,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-09,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-10,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-11,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-12,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-13,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-14,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-15,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-16,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-17,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-18,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-19,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-20,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-21,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-22,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-23,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-24,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-25,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-26,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-27,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-28,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-29,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-30,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-03-31,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-04-01,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-04-02,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-04-03,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-04-04,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-04-05,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-04-06,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-04-07,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-04-08,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-04-09,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-04-10,,,,,,,,,,,,,0.0,545.6033463671911,,,,,,,,,,,,,neutral
2018-04-11,,,,,,,,,,,,,0.0,0.996347721369367,,,,,,,,,,,,,neutral
2018-04-12,,,,,,,,,,,,,0.0,0.996347721369367,,,,,,,,,,,,,neutral
2018-04-13,,,,,,,,,,,,,0.0,0.996347721369367,,,,,,,,,,,,,neutral
2018-04-14,,,,,,,,,,,,,0.0,0.996347721369367,,,,,,,,,,,,,neutral
2018-04-15,,,,,,,,,,,,,0.0,0.996347721369367,,,,,,,,,,,,,neutral
2018-04-16,,,,,,,,,,,,,0.0,0.996347721369367,,,,,,,,,,,,,neutral
2018-04-17,,,,,,,,,,,,,0.0,0.996347721369367,,,,,,,,,,,,,neutral
