regime,count,first_date,last_date,avg_regime_score,avg_confidence,avg_macro_liquidity_score,avg_usd_liquidity_score,avg_risk_appetite_score,avg_stablecoin_liquidity_score,avg_btc_market_score
crypto_liquidity_accumulating,104,2025-06-09,2026-04-30,74.81206275282615,1.0,62.72489392121968,50.037629491190316,57.090400141662975,86.6819024501083,75.02939188715048
liquidity_drain,586,2020-02-04,2026-05-04,66.11798631749281,0.7065415244596132,42.60811691312907,25.155910451885312,54.14539764194825,62.02108149769172,65.89442257808514
liquidity_recovery,304,2020-04-10,2026-04-14,69.11764381060588,0.6820723684210526,69.73613773733835,77.21727593798327,65.15235143940289,82.78911711552965,82.0572766162185
macro_stabilization,701,2020-02-12,2026-03-02,58.25984829595943,0.6946504992867332,60.500200371264086,63.58328160709703,48.65731937769482,76.14021145465024,71.01163614434498
macro_tightening,190,2021-06-17,2026-04-16,71.44737127407979,0.7232456140350877,43.34524960871429,54.24395731540624,55.63364210222968,48.84071917491105,69.31766709707003
neutral,1021,2017-11-29,2026-02-06,64.59386171364673,0.2174665360757427,65.03565369286913,65.36496946584332,56.704416321171635,69.9299270452998,73.28937898871872
risk_off_deleveraging,173,2020-02-01,2026-03-31,70.07863813399709,0.6952793834296727,36.83586024546911,35.02394158961232,19.973662157740947,69.0277679714592,70.09892382842055
